id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,cc_0_1,cc_0_2,cc_0_3,cc_1_2,cc_1_3,cc_2_3,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
1,3,1787861853.563693,0.632121,0.025983,-0.161858,0.238338,0.248841,0.211558,0.163483,0.268803,0.076436,0.000000,0.081576,0.000000,0.110792,0.000000,0.163519,0.033746,0.000000,3.000000,0.000674,0.124325,0.105152;0.066330
0,1,1787861853.665002,0.632888,0.026288,-0.161724,0.238282,0.248728,0.211236,0.163265,0.268882,0.076540,0.000000,0.081551,0.000000,0.110792,0.000000,0.163545,0.033564,0.000000,3.000000,0.000837,0.111267,0.104821;0.028271;0.024365
1,3,1787861853.763617,0.632552,0.026226,-0.161939,0.238282,0.248723,0.211241,0.163264,0.269009,0.076552,0.000000,0.080860,0.000000,0.111596,0.000000,0.163293,0.033569,0.000000,3.000000,0.000404,0.096041,0.081125;0.051406
0,1,1787861853.865406,0.633223,0.026383,-0.161537,0.238196,0.248616,0.210894,0.163024,0.269089,0.076651,0.000000,0.080853,0.000000,0.111585,0.000000,0.163290,0.033381,0.000000,3.000000,0.000797,0.105774,0.091185;0.024887;0.047478
1,3,1787861853.964121,0.633026,0.026347,-0.161663,0.238186,0.248610,0.210876,0.163008,0.269434,0.076658,0.000000,0.080332,0.000000,0.112443,0.000000,0.163031,0.033379,0.000000,3.000000,0.000236,0.072851,0.061384;0.039233
0,1,1787861854.365190,0.633712,0.026575,-0.161445,0.238203,0.248512,0.210658,0.162876,0.269516,0.076753,0.000000,0.080341,0.000000,0.112422,0.000000,0.163132,0.033239,0.000000,3.000000,0.000755,0.104309,0.096224;0.025553;0.031119
0,3,1787861854.466265,0.633202,0.026494,-0.161824,0.238248,0.248513,0.210728,0.162927,0.271282,0.076768,0.000000,0.082723,0.000000,0.111791,0.000000,0.162952,0.033261,0.000000,3.000000,0.000641,0.131638,-0.127282;-0.033586
1,3,1787861854.564257,0.632880,0.026436,-0.162055,0.238223,0.248511,0.210712,0.162908,0.270900,0.076779,0.000000,0.081674,0.000000,0.112447,0.000000,0.162927,0.033255,0.000000,3.000000,0.000401,0.097225,0.080979;0.053806
0,1,1787861854.665791,0.633620,0.026724,-0.161939,0.238141,0.248415,0.210387,0.162684,0.270971,0.076870,0.000000,0.081663,0.000000,0.112438,0.000000,0.162929,0.033082,0.000000,3.000000,0.000803,0.113656,0.107745;0.027945;0.022973
0,3,1787861854.764351,0.633136,0.026650,-0.162285,0.238114,0.248414,0.210371,0.162664,0.271823,0.076885,0.000000,0.083064,0.000000,0.111874,0.000000,0.162684,0.033074,0.000000,3.000000,0.000599,0.137045,-0.134271;-0.027430
1,3,1787861855.064029,0.632951,0.026665,-0.162478,0.238236,0.248414,0.210511,0.162781,0.270142,0.076886,0.000000,0.081449,0.000000,0.111807,0.000000,0.162790,0.033122,0.000000,3.000000,0.000268,0.105285,0.088655;0.056791
0,1,1787861855.165139,0.633631,0.026924,-0.162354,0.238162,0.248322,0.210205,0.162571,0.270210,0.076974,0.000000,0.081436,0.000000,0.111801,0.000000,0.162808,0.032958,0.000000,3.000000,0.000738,0.106675,0.100584;0.026752;0.023386
0,3,1787861855.265491,0.633254,0.026876,-0.162646,0.238146,0.248322,0.210196,0.162560,0.271336,0.076985,0.000000,0.083049,0.000000,0.111302,0.000000,0.162575,0.032953,0.000000,3.000000,0.000480,0.126635,-0.123740;-0.026924
0,1,1787861855.366068,0.633939,0.027161,-0.162590,0.238050,0.248234,0.209873,0.162335,0.271390,0.077069,0.000000,0.083010,0.000000,0.111312,0.000000,0.162560,0.032786,0.000000,3.000000,0.000744,0.109261,0.104430;0.027207;0.017089
0,3,1787861855.465140,0.633742,0.027137,-0.162741,0.238108,0.248235,0.209940,0.162391,0.271783,0.077077,0.000000,0.083968,0.000000,0.110739,0.000000,0.162401,0.032809,0.000000,3.000000,0.000249,0.090866,-0.088797;-0.019283
