id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,1,1787690742.391825,-0.320277,-0.493257,0.095447,0.229192,0.241671,0.186581,0.145746,0.339530,0.146268,0.023724,0.000000,3.000000,0.009103,0.595125,-0.449969;0.386353;0.049328
0,3,1787690742.490517,-0.306403,-0.491997,0.085635,0.229162,0.240651,0.186607,0.145250,0.339759,0.145250,0.023991,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690742.791750,-0.292094,-0.490879,0.075966,0.229154,0.239624,0.186651,0.144770,0.340012,0.144770,0.024272,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690742.891435,-0.292094,-0.490879,0.075966,0.229197,0.239624,0.186705,0.144810,0.340012,0.144810,0.024288,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690743.391628,-0.292094,-0.490879,0.075966,0.229371,0.239625,0.186919,0.144970,0.340012,0.144970,0.024353,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,3,1787690743.491678,-0.292094,-0.490879,0.075966,0.229458,0.239626,0.187026,0.145050,0.340012,0.145050,0.024385,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690743.590757,-0.289321,-0.490672,0.073306,0.229454,0.239429,0.187032,0.144956,0.340063,0.144956,0.024439,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690743.690567,-0.285827,-0.490422,0.069493,0.229445,0.239184,0.187033,0.144835,0.340128,0.144835,0.024506,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
2,3,1787690744.091230,-0.260256,-0.489134,0.031147,0.229550,0.237433,0.187225,0.144121,0.340635,0.144121,0.025045,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,3,1787690744.190709,-0.250499,-0.488919,0.012881,0.229549,0.236787,0.187235,0.143818,0.340844,0.143818,0.025230,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
